actual,prob_0,prob_1,predicted
1,0.2778157073341745,0.7221842926658255,1
1,0.168941386555592,0.831058613444408,1
1,0.24004294574812202,0.759957054251878,1
0,0.4439931555846146,0.5560068444153854,1
0,0.24738606058746648,0.7526139394125335,1
1,0.08637243236895564,0.9136275676310444,1
1,0.2649517703053119,0.7350482296946881,1
1,0.30075960170344684,0.6992403982965532,1
1,0.42802902753623284,0.5719709724637672,1
1,0.10189634379412849,0.8981036562058715,1
0,0.8079474474974034,0.19205255250259654,0
0,0.45837929244292286,0.5416207075570771,1
1,0.46493647722802844,0.5350635227719716,1
0,0.6966524482307297,0.30334755176927025,0
1,0.16639470142360346,0.8336052985763965,1
1,0.30150861058802103,0.698491389411979,1
0,0.5494942868020942,0.4505057131979057,0
1,0.3004611304639778,0.6995388695360222,1
1,0.21418280292561265,0.7858171970743874,1
1,0.4323778948266973,0.5676221051733027,1
1,0.17484992424090817,0.8251500757590918,1
1,0.0684605588675341,0.9315394411324659,1
0,0.16275866471850997,0.83724133528149,1
1,0.07668295960126603,0.923317040398734,1
0,0.5108978558632453,0.4891021441367547,0
1,0.766635056655236,0.23336494334476396,0
1,0.3233595972278913,0.6766404027721087,1
1,0.25445357710754946,0.7455464228924505,1
0,0.31730943432734804,0.682690565672652,1
1,0.4730911648394217,0.5269088351605783,1
1,0.4100959963203016,0.5899040036796984,1
1,0.21564774482812388,0.7843522551718761,1
0,0.5152499467782442,0.4847500532217558,0
1,0.1431724795889231,0.8568275204110769,1
0,0.5969983163599862,0.40300168364001376,0
0,0.34966680554516927,0.6503331944548307,1
1,0.1278757797747775,0.8721242202252225,1
0,0.7227487340399334,0.2772512659600665,0
1,0.18485029987608048,0.8151497001239195,1
1,0.3841270596109406,0.6158729403890594,1
1,0.0810775528552331,0.9189224471447669,1
0,0.09436906703117998,0.90563093296882,1
1,0.30970432436507356,0.6902956756349264,1
0,0.6978822818159676,0.3021177181840325,0
1,0.2976934388850919,0.7023065611149081,1
1,0.5071308130456837,0.49286918695431625,0
1,0.04677971326815056,0.9532202867318494,1
1,0.25941096366542427,0.7405890363345757,1
1,0.08402548909726526,0.9159745109027347,1
1,0.22165102030820105,0.778348979691799,1
1,0.3608015011372029,0.6391984988627971,1
1,0.319429664002842,0.680570335997158,1
0,0.3624243392790252,0.6375756607209748,1
0,0.8250340071353205,0.1749659928646795,0
1,0.5255248276105356,0.47447517238946435,0
0,0.3929017690639005,0.6070982309360995,1
0,0.42061007803986006,0.5793899219601399,1
1,0.1344627583368554,0.8655372416631446,1
0,0.6262438845875471,0.3737561154124529,0
1,0.449995018549294,0.550004981450706,1
0,0.21320157845518972,0.7867984215448103,1
1,0.10816551006798314,0.8918344899320169,1
1,0.19616597643207767,0.8038340235679223,1
1,0.13536707745622512,0.8646329225437749,1
1,0.28951606104317296,0.710483938956827,1
0,0.1139324626113486,0.8860675373886514,1
0,0.46133435036995085,0.5386656496300491,1
1,0.1853960147335948,0.8146039852664052,1
0,0.6122536525021589,0.38774634749784104,0
